task,Acc_mean,Acc_sd,Macro-P_mean,Macro-P_sd,Macro-R_mean,Macro-R_sd,Macro-F1_mean,Macro-F1_sd,Macro-AUC_mean,Macro-AUC_sd
image_usability,88.3333,1.1547,90.5668,0.9007,88.8268,1.1189,88.7830,1.1297,95.9345,0.6654
structure_visibility,86.3333,4.6188,89.9960,3.9464,83.7260,4.6026,85.0530,5.0516,94.8345,2.2610
keyframe_status,90.3333,0.5774,91.9135,1.4350,85.0409,0.4294,86.5085,0.3741,96.8959,0.3915
primary_defect,89.0000,0.0000,91.9671,1.1423,86.8810,0.5171,87.9615,0.3040,97.0943,0.7210
recommended_action,89.0000,0.0000,91.9671,1.1423,86.8810,0.5171,87.9615,0.3040,97.1244,0.6554
five_task_overall,88.6000,0.8718,91.2821,0.6459,86.2711,1.1162,87.2535,1.0553,96.3767,0.8534
